,total_vs_impval,direct_vs_impval,indirect_vs_impval
UKR,"{'correlation': np.float64(0.5477241335116906), 'p_value': np.float64(0.000254066670805637)}","{'correlation': np.float64(0.7019721404361106), 'p_value': np.float64(4.4800518507479905e-07)}","{'correlation': np.float64(0.2984514641136353), 'p_value': np.float64(0.06140018486866771)}"
URY,"{'correlation': np.float64(0.5539483200570027), 'p_value': np.float64(0.00037518347861389446)}","{'correlation': np.float64(0.6392124131375024), 'p_value': np.float64(2.0583998682864033e-05)}","{'correlation': np.float64(0.36850842866805744), 'p_value': np.float64(0.02481621527305704)}"
UZB,"{'correlation': np.float64(0.41116920935261847), 'p_value': np.float64(0.023992024765588378)}","{'correlation': np.float64(0.48542181528581413), 'p_value': np.float64(0.00654519474207767)}","{'correlation': np.float64(0.17087551557511418), 'p_value': np.float64(0.3666213725297133)}"
VAT,"{'correlation': np.float64(1.0), 'p_value': np.float64(0.0)}","{'correlation': np.float64(1.0), 'p_value': np.float64(0.0)}","{'correlation': np.float64(1.0), 'p_value': np.float64(0.0)}"
VCT,"{'correlation': np.float64(0.2747252747252747), 'p_value': np.float64(0.3636749816401784)}","{'correlation': np.float64(0.3021978021978022), 'p_value': np.float64(0.3156083662499549)}","{'correlation': np.float64(-0.1868131868131868), 'p_value': np.float64(0.5411235235098939)}"
VEN,"{'correlation': np.float64(0.29130594613890676), 'p_value': np.float64(0.08024091327284037)}","{'correlation': np.float64(0.4576314639914982), 'p_value': np.float64(0.004400871147493369)}","{'correlation': np.float64(0.21160008465464566), 'p_value': np.float64(0.20867036634505293)}"
VGB,"{'correlation': np.float64(0.13245036698368357), 'p_value': np.float64(0.6248494815021565)}","{'correlation': np.float64(0.20309056270831474), 'p_value': np.float64(0.4506209180625391)}","{'correlation': np.float64(-0.2384106605706304), 'p_value': np.float64(0.37389202799249144)}"
VNM,"{'correlation': np.float64(0.6751528285200834), 'p_value': np.float64(1.2857413895425959e-06)}","{'correlation': np.float64(0.7680706879382568), 'p_value': np.float64(4.5899938615124224e-09)}","{'correlation': np.float64(0.25004368700872925), 'p_value': np.float64(0.11486234812728201)}"
VUT,"{'correlation': np.float64(0.5515151515151515), 'p_value': np.float64(0.09840117666963498)}","{'correlation': np.float64(0.5757575757575757), 'p_value': np.float64(0.08155281477260236)}","{'correlation': np.float64(0.13939393939393938), 'p_value': np.float64(0.7009318849100584)}"
WSM,"{'correlation': np.float64(0.6852941176470588), 'p_value': np.float64(0.003391561745216595)}","{'correlation': np.float64(0.694628591292207), 'p_value': np.float64(0.0028248101915239227)}","{'correlation': np.float64(0.5588235294117647), 'p_value': np.float64(0.02443651142450573)}"
YEM,"{'correlation': np.float64(0.6928289102202146), 'p_value': np.float64(0.0003514893311830927)}","{'correlation': np.float64(0.6845524136291699), 'p_value': np.float64(0.0004410516525717592)}","{'correlation': np.float64(0.5866741953698477), 'p_value': np.float64(0.004105106680637817)}"
ZAF,"{'correlation': np.float64(0.3753954685071566), 'p_value': np.float64(0.014295304032232923)}","{'correlation': np.float64(0.408918461662928), 'p_value': np.float64(0.007170954673229651)}","{'correlation': np.float64(0.20006494292658358), 'p_value': np.float64(0.20396735291434434)}"
ZMB,"{'correlation': np.float64(0.20787128127845567), 'p_value': np.float64(0.329711093018224)}","{'correlation': np.float64(0.2523934811417083), 'p_value': np.float64(0.23410666702752986)}","{'correlation': np.float64(0.16177430258490694), 'p_value': np.float64(0.4501190528874506)}"
ZWE,"{'correlation': np.float64(0.2300751879699248), 'p_value': np.float64(0.3291382464700846)}","{'correlation': np.float64(0.41654135338345866), 'p_value': np.float64(0.06770800324389113)}","{'correlation': np.float64(0.08120300751879699), 'p_value': np.float64(0.733607630478017)}"
