,total_vs_impval,direct_vs_impval,indirect_vs_impval
URY,"{'correlation': np.float64(0.6467597670899579), 'p_value': np.float64(2.0262968062147937e-05)}","{'correlation': np.float64(0.7285255856756612), 'p_value': np.float64(4.7242508820125474e-07)}","{'correlation': np.float64(0.44777656312556485), 'p_value': np.float64(0.006172185291234262)}"
UZB,"{'correlation': np.float64(0.5551724137931033), 'p_value': np.float64(0.0017717461899003691)}","{'correlation': np.float64(0.6370242689038629), 'p_value': np.float64(0.0002024737051979164)}","{'correlation': np.float64(0.2891625615763546), 'p_value': np.float64(0.1281581621790135)}"
VAT,"{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}","{'correlation': np.float64(0.9999999999999999), 'p_value': np.float64(nan)}"
VCT,"{'correlation': np.float64(0.5594405594405596), 'p_value': np.float64(0.05858947538856762)}","{'correlation': np.float64(0.5944055944055945), 'p_value': np.float64(0.04152149441031855)}","{'correlation': np.float64(0.034965034965034975), 'p_value': np.float64(0.9140933424107598)}"
VEN,"{'correlation': np.float64(0.47776455050981315), 'p_value': np.float64(0.003701491782150425)}","{'correlation': np.float64(0.6643317716642582), 'p_value': np.float64(1.350308645114254e-05)}","{'correlation': np.float64(0.3886826818131725), 'p_value': np.float64(0.021025096966597424)}"
VGB,"{'correlation': np.float64(0.3178571428571428), 'p_value': np.float64(0.24829056581701822)}","{'correlation': np.float64(0.4035714285714285), 'p_value': np.float64(0.13576799650365623)}","{'correlation': np.float64(-0.0857142857142857), 'p_value': np.float64(0.7613341261907667)}"
VNM,"{'correlation': np.float64(0.7237917268064011), 'p_value': np.float64(1.3088793574218636e-07)}","{'correlation': np.float64(0.8212210192956425), 'p_value': np.float64(8.52185800585755e-11)}","{'correlation': np.float64(0.2796809317794444), 'p_value': np.float64(0.08049238023104947)}"
VUT,"{'correlation': np.float64(0.7333333333333334), 'p_value': np.float64(0.02455415007146968)}","{'correlation': np.float64(0.7666666666666667), 'p_value': np.float64(0.01594401657897401)}","{'correlation': np.float64(0.25), 'p_value': np.float64(0.5164895523012263)}"
WSM,"{'correlation': np.float64(0.8964285714285712), 'p_value': np.float64(6.066143021729969e-06)}","{'correlation': np.float64(0.8928571428571428), 'p_value': np.float64(7.4947360645682566e-06)}","{'correlation': np.float64(0.7428571428571428), 'p_value': np.float64(0.00150948887823503)}"
YEM,"{'correlation': np.float64(0.8688311688311688), 'p_value': np.float64(3.2413520398464304e-07)}","{'correlation': np.float64(0.8532467532467533), 'p_value': np.float64(8.8366524232907e-07)}","{'correlation': np.float64(0.7727272727272727), 'p_value': np.float64(4.027735878701308e-05)}"
ZAF,"{'correlation': np.float64(0.43381267734752527), 'p_value': np.float64(0.004602220137901482)}","{'correlation': np.float64(0.4636864727841703), 'p_value': np.float64(0.0022626652772866278)}","{'correlation': np.float64(0.2522004596713014), 'p_value': np.float64(0.1116623784932161)}"
ZMB,"{'correlation': np.float64(0.3142292490118577), 'p_value': np.float64(0.14422478191856075)}","{'correlation': np.float64(0.3612552618315979), 'p_value': np.float64(0.09033188771116805)}","{'correlation': np.float64(0.26778656126482214), 'p_value': np.float64(0.2166982466448146)}"
ZWE,"{'correlation': np.float64(0.36315789473684207), 'p_value': np.float64(0.12645534372597733)}","{'correlation': np.float64(0.5807017543859649), 'p_value': np.float64(0.009132950070568505)}","{'correlation': np.float64(0.19649122807017544), 'p_value': np.float64(0.4201015343407333)}"
